position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
538,538,Viacom,viacom,viacom,Broadcasting & Cable,United States,12658.0,17967.0,New York,New York,Robert M. Bakish,,1385.0,23312.0,
539,539,Sasol,sasol,sasol,Diversified Chemicals,South Africa,11799.0,19845.0,South Africa,,Stephen Russell Cornell,,992.9,27570.0,
540,540,Public Service Enterprise Group,public-service-enterprise-group,public-service-enterprise-group,Electric Utilities,United States,8831.0,22638.0,New Jersey,New Jersey,Ralph Izzo,,887.0,40070.0,
541,541,Coal India,coal-india,coal-india,Diversified Metals & Mining,India,10999.0,27448.0,India,,Sutirtha Bhattacharya,,1607.0,17801.0,
542,542,Novatek,novatek,novatek,Oil & Gas Operations,Russia,8012.0,38983.0,Russia,,Leonid Viktorovich Mikhelson,,3847.9,15841.0,
543,543,Kirin Holdings,kirin-holdings,kirin-holdings,Beverages,Japan,19097.0,17388.0,Japan,,Senji Miyake,,1087.4,20133.0,
544,544,T&D Holdings,td-holdings,td-holdings,Life & Health Insurance,Japan,16591.0,9156.0,Japan,,Kenji Nakagome,,703.2,128600.0,
545,545,Mitsui,mitsui-co,mitsui-co,Trading Companies,Japan,39218.0,26167.0,Japan,,Tatsuo Yasunaga,,114.9,99953.0,
546,546,Regions Financial,regions-financial,regions-financial,Major Banks,United States,5805.0,17404.0,Alabama,Alabama,"O. B. Grayson Hall, Jr.",,1163.0,126704.0,
547,547,Ingersoll Rand,ingersoll-rand,ingersoll-rand,Conglomerates,Ireland,13509.0,21441.0,Ireland,,Michael W. Lamach,http://specials-images.forbesimg.com/imageserve/5a329f4b31358e6e1b1d6e1e/280x425.jpg?fit=scale&background=000000,1476.2,17397.0,//specials-images.forbesimg.com/imageserve/5a329f4b31358e6e1b1d6e1e/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
548,548,CenturyLink,centurylink,centurylink,Telecommunications services,United States,17470.0,13413.0,Louisiana,Louisiana,"Glen F. Post, III",,626.0,47017.0,
549,549,Bank of Nanjing,bank-of-nanjing,bank-of-nanjing,Regional Banks,China,7755.0,10460.0,China,,Fu Lin,,1251.0,153406.0,
550,550,Dongfeng Motor Group,dongfeng-motor-group,dongfeng-motor-group,Auto & Truck Manufacturers,China,18414.0,9359.0,China,,Liang Ma,,2011.4,26615.0,
551,551,Citizens Financial Group,citizens-financial-group,citizens-financial-group,Regional Banks,United States,5783.0,17638.0,Rhode Island,Rhode Island,Bruce Winfield van Saun,,1045.0,150611.0,
552,552,Swire Pacific,swire-pacific,swire-pacific,Conglomerates,Hong Kong,8037.0,15081.0,Hong Kong,,John Slosar,,1242.4,48174.0,
553,553,RELX Group,relx-group,relx-group,Computer Services,United Kingdom,9303.0,40929.0,United Kingdom,,Erik N. Engstrom,,1566.5,16463.0,
554,553,Samsung Fire & Marine,samsung-fire-marine,samsung-fire-marine,Property & Casualty Insurance,South Korea,17188.0,10396.0,South Korea,,Min-Soo Ahn,,739.5,55545.0,
555,555,Associated British Foods,associated-british-foods,associated-british-foods,Food Processing,United Kingdom,19015.0,24369.0,United Kingdom,,George Garfield Weston,,1160.9,14777.0,
556,556,Standard Life,standard-life,standard-life,Life & Health Insurance,United Kingdom,25200.0,9043.0,United Kingdom,,Keith Skeoch,,496.5,228730.0,
557,557,Ally Financial,ally-financial,ally-financial,Regional Banks,United States,10057.0,9089.0,Michigan,Michigan,Jeffrey Jonathan Brown,,1067.0,163728.0,
558,558,Møller-Maersk,moller-maersk,moller-maersk,Other Transportation,Denmark,35466.0,35046.0,Denmark,,Søren Skou,,-2012.6,62589.0,
559,559,Ecopetrol,ecopetrol,ecopetrol,Oil & Gas Operations,Colombia,15638.0,19658.0,Colombia,,Juan Carlos Echeverry Garzón,,512.7,40409.0,
560,560,National Bank of Canada,national-bank-of-canada,national-bank-of-canada,Regional Banks,Canada,6205.0,14255.0,Canada,,"Louis Vachon, CFA",,1078.3,179574.0,
561,561,Sumitomo Electric,sumitomo-electric,sumitomo-electric,Auto & Truck Parts,Japan,25611.0,12453.0,Japan,,Masayoshi Matsumoto,,904.6,24566.0,
562,562,Shire,shire,shire,Pharmaceuticals,Ireland,11584.0,51264.0,Ireland,,Flemming Ornskov,,342.3,67035.0,
563,563,Akzo Nobel,akzo-nobel,akzo-nobel,Diversified Chemicals,Netherlands,15705.0,21357.0,Netherlands,,Ton Büchner,,1073.0,17449.0,
564,564,Bank Central Asia,bank-central-asia,bank-central-asia,Regional Banks,Indonesia,4822.0,32111.0,Indonesia,,Jahja Setiaatmadja,,1549.3,50231.0,
565,565,Marubeni,marubeni,marubeni,Trading Companies,Japan,63536.0,10693.0,Japan,,Teruo Asada,,429.3,64348.0,
566,566,DTE Energy,dte-energy,dte-energy,Electric Utilities,United States,10687.0,18472.0,Michigan,Michigan,Gerard M. Anderson,,868.0,32041.0,
567,567,Koç Holding,koc-holding,koc-holding,Conglomerates,Turkey,23456.0,10386.0,Turkey,,Levent Çakiroglu,,1144.2,25075.0,
568,568,Unum,unum,unum,Life & Health Insurance,United States,11082.0,10627.0,Tennessee,Tennessee,Rick McKenney,,931.4,63558.0,
569,569,Best Buy,best-buy,best-buy,Computer & Electronics Retail,United States,39403.0,14905.0,Minnesota,Minnesota,Hubert Joly,,1228.0,14215.0,
570,570,Atlas Copco,atlas-copco,atlas-copco,Other Industrial Equipment,Sweden,12100.0,42940.0,Sweden,,Mats Rahmström,,1393.5,13161.0,
571,570,MTR,mtr,mtr,Railroads,Hong Kong,5821.0,33258.0,Hong Kong,,Kwok Kuen Leong,,1321.0,33192.0,
572,572,Suncorp Group,suncorp-group,suncorp-group,Diversified Insurance,Australia,10339.0,12639.0,Australia,,Michael Andrew Cameron,,776.8,70094.0,
573,573,Emirates NBD,emirates-nbd,emirates-nbd,Regional Banks,United Arab Emirates,5533.0,12484.0,United Arab Emirates,,Shayne Kieth Nelson,,1810.1,121976.0,
574,573,LG Chem,lg-chem,lg-chem,Specialized Chemicals,South Korea,17807.0,17692.0,South Korea,,Jin-Soo Park,,1126.7,16962.0,
575,575,QBE Insurance Group,qbe-insurance-group,qbe-insurance-group,Property & Casualty Insurance,Australia,11587.0,13277.0,Australia,,John D. Neal,,839.7,42283.0,
576,576,Northern Trust,northern-trust,northern-trust,Regional Banks,United States,5195.0,19756.0,Illinois,Illinois,Frederick H. Waddell,http://specials-images.forbesimg.com/imageserve/5a68b6a031358e4955ab87d6/280x425.jpg?fit=scale&background=000000,1008.0,123927.0,//specials-images.forbesimg.com/imageserve/5a68b6a031358e4955ab87d6/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
577,577,CME Group,cme-group,cme-group,Investment Services,United States,3608.0,40092.0,Illinois,Illinois,Terrence A. Duffy,,1534.1,69369.0,
578,578,Otsuka Holding,otsuka-holding,otsuka-holding,Pharmaceuticals,Japan,11003.0,25053.0,Japan,,Tatsuo Higuchi,,851.9,22735.0,
579,579,Altice,altice,altice,Telecommunications services,Netherlands,20628.0,30853.0,Netherlands,,Michael Combes,,-1730.4,89319.0,
580,580,American Tower,american-tower,american-tower,Real Estate,United States,5786.0,52169.0,Massachusetts,Massachusetts,"James D. Taiclet, Jr.",,956.4,30879.0,
581,581,Sinopharm Group,sinopharm-group,sinopharm-group,Pharmaceuticals,China,38892.0,12696.0,China,,Yu Wei,,700.8,22694.0,
582,582,Falabella,falabella,falabella,Department Stores,Chile,12718.0,21319.0,Chile,,Sandro Solari Donaggio,,900.6,20791.0,
583,583,Bharat Petroleum,bharat-petroleum,bharat-petroleum,Oil & Gas Operations,India,28783.0,15206.0,India,,Rajkumar Duraiswamy,,1219.1,14361.0,
584,584,Newell Brands,newell-brands,no-pic,Household/Personal Care,United States,13264.0,22297.0,New Jersey,New Jersey,Michael B. Polk,,527.2,33838.0,
585,585,Akbank,akbank,akbank,Regional Banks,Turkey,7940.0,9171.0,Turkey,,Hakan Binbasgil,,1486.2,91624.0,
586,586,Norilsk Nickel,norilsk-nickel,norilsk-nickel,Diversified Metals & Mining,Russia,8235.0,24860.0,Russia,,Vladimir Olegovich Potanin,,2540.8,16457.0,
587,587,Atlantia,atlantia,atlantia,Other Transportation,Italy,5979.0,21100.0,Italy,,Giovanni Castellucci,,1241.0,41513.0,
588,587,Tesco,tesco,tesco,Food Retail,United Kingdom,78433.0,19218.0,United Kingdom,,David Lewis,,231.5,61781.0,
589,589,MGM Resorts,mgm-resorts,mgm-resorts,Casinos & Gaming,United States,9455.0,16141.0,Nevada,Nevada,"James Joseph Murren, CFA",,1101.4,28907.0,
590,590,Dollar Tree,dollar-tree,dollar-tree,Discount Stores,United States,20719.0,18339.0,Virginia,Virginia,Bob Sasser,,896.3,15950.0,
591,591,GFNorte,gfnorte,gfnorte,Regional Banks,Mexico,6413.0,16241.0,Mexico,,Jose Marcos Ramírez Miguel,,1019.9,61894.0,
592,592,Broadcom,broadcom,broadcom,Semiconductors,Singapore,15608.0,87597.0,Singapore,,Hock E. Tan,,-1877.0,49617.0,
593,592,Woori Bank,woori-bank,woori-bank,Regional Banks,South Korea,9544.0,8246.0,South Korea,,Kwang-Goo Lee,,909.1,257230.0,
594,594,Guotai Junan Securities,guotai-junan-securities,no-pic,Major Banks,China,4856.0,20286.0,China,,De Yang,,1481.0,59249.0,
595,595,Constellation Brands,constellation-brands,constellation-brands,Beverages,United States,7331.0,33402.0,New York,New York,Robert S. Sands,http://specials-images.forbesimg.com/imageserve/57b3844a31358e4cbf0a0ad2/280x425.jpg?fit=scale&background=000000,1535.1,18602.0,http://specials-images.forbesimg.com/imageserve/57b3844a31358e4cbf0a0ad2/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
596,596,Royal Caribbean Cruises,royal-caribbean-cruises,royal-caribbean-cruises,Hotels & Motels,United States,8496.0,20920.0,Florida,Florida,Richard D. Fain,http://specials-images.forbesimg.com/imageserve/58d9634631358e1a35adaf41/280x425.jpg?fit=scale&background=000000,1283.4,22310.0,//specials-images.forbesimg.com/imageserve/58d9634631358e1a35adaf41/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
597,597,Air Products & Chemicals,air-products-chemicals,air-products-chemicals,Specialized Chemicals,United States,9051.0,29377.0,Pennsylvania,Pennsylvania,Seifollah Ghasemi,,1461.0,15956.0,
598,598,Infosys,infosys,infosys,Computer Services,India,10108.0,34926.0,India,,Vishal Sikka,,2135.2,11941.0,
599,599,BYD,byd,byd,Auto & Truck Manufacturers,China,15315.0,18378.0,China,,Chuan Fu Wang,,759.4,20875.0,
600,600,KeyCorp,keycorp,keycorp,Major Banks,United States,5355.0,18870.0,Ohio,Ohio,Beth Elaine Mooney,,791.0,137282.0,
601,601,Johnson Controls International,johnson-controls-international,no-pic,Business & Personal Services,Ireland,22064.0,38478.0,Ireland,,Alex A. Molinaroli,,-457.0,48788.0,
602,602,Asahi Kasei,asahi-kasei,asahi-kasei,Diversified Chemicals,Japan,17020.0,13131.0,Japan,,Ichiro Itoh,,1009.2,20068.0,
603,603,New World Development,new-world-development,new-world-development,Real Estate,Hong Kong,7103.0,12082.0,Hong Kong,,Guan Zhan Chen,,1249.9,54222.0,
604,604,Siam Cement,siam-cement,siam-cement,Specialized Chemicals,Thailand,12002.0,19085.0,Thailand,,Roongrote Rangsiyopash,,1589.7,15071.0,
605,605,Toray Industries,toray-industries,toray-industries,Diversified Chemicals,Japan,18556.0,14184.0,Japan,,Akihiro Nikkaku,,835.9,20691.0,
606,606,Grupo Mexico,grupo-mexico,grupo-mexico,Diversified Metals & Mining,Mexico,8177.0,23656.0,Mexico,,Germán Larrea Mota-Velasco,,1106.5,22824.0,
607,607,E.ON,eon,eon,Electric Utilities,Germany,59776.0,16888.0,Germany,,"Johannes Teyssen, LLD",,-9347.4,70388.0,
608,608,Dell Technologies,dell-technologies,dell-technologies,Computer Hardware,United States,61948.0,13475.0,Texas,Texas,Michael Saul Dell,,-3691.0,118206.0,
609,608,Nokia,nokia,nokia,Communications Equipment,Finland,26121.0,30349.0,Finland,,Rajeev Suri,,-748.9,49215.0,
610,610,Eletrobrás,eletrobras,eletrobras,Electric Utilities,Brazil,17427.0,7195.0,Brazil,,"Wilson Pinto Ferreira, Jr.",,983.0,52386.0,
611,610,Legend Holding,legend-holding,no-pic,Computer Hardware,China,44321.0,7005.0,China,,Li Nan Zhu,,732.4,46372.0,
612,612,Dollar General,dollar-general,dollar-general,Discount Stores,United States,21987.0,19072.0,Tennessee,Tennessee,Todd J. Vasos,,1251.1,11864.0,
613,613,Banco de Sabadell,banco-de-sabadell,banco-de-sabadell,Regional Banks,Spain,7775.0,10005.0,Spain,,Jaime Guardiola Romojaro,,785.9,224143.0,
614,614,Eversource Energy,eversource-energy,eversource-energy,Electric Utilities,United States,7639.0,18823.0,Massachusetts,Massachusetts,James J. Judge,,942.3,32053.0,
615,615,China Taiping Insurance,china-taiping-insurance,china-taiping-insurance,Diversified Insurance,Hong Kong,21556.0,8613.0,Hong Kong,,Jin Fu Li,,582.3,64434.0,
616,616,Hyundai Heavy Industries,hyundai-heavy-industries,hyundai-heavy-industries,Heavy Equipment,South Korea,33889.0,11047.0,South Korea,,Hwan-Goo Kang,,451.8,40776.0,
617,616,Sekisui House,sekisui-house,sekisui-house,Construction Services,Japan,18695.0,11306.0,Japan,,Isami Wada,,1123.9,19408.0,
618,616,Siam Commercial Bank,siam-commercial-bank,siam-commercial-bank,Regional Banks,Thailand,4912.0,16095.0,Thailand,,Arthid Nanthawithaya,,1349.5,81346.0,
619,619,China Eastern Airlines,china-eastern-airlines,china-eastern-airlines,Airline,China,14802.0,12940.0,China,,Xu Lun Ma,,693.9,30225.0,
620,620,Cemex,cemex,cemex,Construction Materials,Mexico,13652.0,13094.0,Mexico,,Fernando Angel González Olivieri,,750.7,29111.0,
621,621,Sumitomo Realty,sumitomo-realty,sumitomo-realty,Real Estate,Japan,8994.0,12270.0,Japan,,Junji Takashima,,948.1,41130.0,
622,622,Murata Manufacturing,murata-manufacturing,murata-manufacturing,Electronics,Japan,10375.0,28400.0,Japan,,Tsuneo Murata,,1423.1,13860.0,
623,623,WEC Energy Group,wec-energy-group,wec-energy-group,Electric Utilities,United States,7472.0,19048.0,Wisconsin,Wisconsin,Allen L. Leverett,,940.2,31253.0,
624,624,JXTG Holdings,jxtg-holdings,no-pic,Oil & Gas Operations,Japan,72026.0,16602.0,Japan,,Yasushi Kimura,,-649.6,58001.0,
625,625,China Fortune Land Development,china-fortune-land-development,china-fortune-land-development,Construction Services,China,7629.0,15544.0,China,,Liang Jin,,977.1,35960.0,
626,626,Evonik,evonik,evonik,Specialized Chemicals,Germany,14085.0,14917.0,Germany,,Klaus Engel,,827.4,22070.0,
627,627,Henderson Land,henderson-land,henderson-land,Real Estate,Hong Kong,3343.0,22938.0,Hong Kong,,"Shau Kee Lee, LLD",,2823.3,45852.0,
628,628,China Southern Airlines,china-southern-airlines,china-southern-airlines,Airline,China,17236.0,10434.0,China,,Wan Geng Tan,,769.5,28845.0,
629,629,ThyssenKrupp Group,thyssenkrupp-group,thyssenkrupp-group,Conglomerates,Germany,44029.0,13549.0,Germany,,Heinrich Hiesinger,http://specials-images.forbesimg.com/imageserve/5a317de7a7ea430739478eb2/280x425.jpg?fit=scale&background=000000,361.7,36885.0,//specials-images.forbesimg.com/imageserve/5a317de7a7ea430739478eb2/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
630,630,Whirlpool,whirlpool,whirlpool,Household Appliances,United States,20718.0,12442.0,Michigan,Michigan,Jeff M. Fettig,,888.0,19153.0,
631,631,Paccar,paccar,paccar,Heavy Equipment,United States,17009.0,23590.0,Washington,Washington,Ronald E. Armstrong,,521.7,20639.0,
632,632,Public Bank,public-bank,public-bank,Regional Banks,Malaysia,4528.0,17414.0,Malaysia,,Ah Lek Tay,,1256.9,84720.0,
633,633,Bank of Ningbo,bank-of-ningbo,bank-of-ningbo,Regional Banks,China,6137.0,10294.0,China,,Hua Lu,,1158.1,125591.0,
634,634,Valeo,valeo,valeo,Auto & Truck Parts,France,18273.0,15392.0,France,,Jacques Aschenbroich,,1023.2,15165.0,
635,635,Asahi Group Holdings,asahi-group-holdings,asahi-group-holdings,Beverages,Japan,15709.0,17802.0,Japan,,Naoki Izumiya,,821.1,17009.0,
636,635,Unibail-Rodamco,unibail-rodamco,unibail-rodamco,Real Estate,France,2366.0,23585.0,France,,Christophe Cuvillier,,2664.8,42976.0,
637,637,Delphi Automotive,delphi-automotive,delphi-automotive,Auto & Truck Parts,United Kingdom,16661.0,20234.0,United Kingdom,,Kevin P. Clark,,1156.0,12292.0,
638,638,Bunge,bunge,bunge,Food Processing,United States,42679.0,10596.0,New York,New York,Soren W. Schroder,,743.0,19188.0,
639,639,Capgemini,capgemini,capgemini,Computer Services,France,13871.0,15717.0,France,,Paul Hermelin,,1018.8,17360.0,
640,639,Mylan,mylan,mylan,Pharmaceuticals,United Kingdom,11111.0,21206.0,United Kingdom,,Heather M. Bresch,,480.0,34726.0,
641,641,Sodexo,sodexo,sodexo,Business & Personal Services,France,22483.0,17478.0,France,,Michel Landel,,707.4,15768.0,
642,642,Kasikornbank,kasikornbank,kasikornbank,Regional Banks,Thailand,5362.0,13385.0,Thailand,,Banthoon Lamsam,http://specials-images.forbesimg.com/imageserve/57f68c72a7ea4357a3dfba10/280x425.jpg?fit=scale&background=000000,1139.0,79470.0,http://specials-images.forbesimg.com/imageserve/57f68c72a7ea4357a3dfba10/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
643,643,TELUS,telus,telus,Telecommunications services,Canada,9604.0,19547.0,Canada,,Darren Entwistle,,923.1,20677.0,
644,644,Formosa Chemicals,formosa-chemicals,formosa-chemicals,Specialized Chemicals,Taiwan,9898.0,17864.0,Taiwan,,Tung Teng Huang,,1359.1,16893.0,
645,645,Kao Corp,kao-corp,kao-corp,Household/Personal Care,Japan,13415.0,27327.0,Japan,,Michitaka Sawada,,1164.7,11474.0,
646,645,VMware,vmware,vmware,Software & Programming,United States,7092.0,37786.0,California,California,Patrick P. Gelsinger,,1186.0,16643.0,
647,647,Kweichow Moutai,kweichow-moutai,kweichow-moutai,Beverages,China,4950.0,71537.0,China,,Shuang Luo,,2531.9,15764.0,
648,647,SCA,sca,sca,Household/Personal Care,Sweden,13702.0,21637.0,Sweden,,Carl Magnus Groth,,650.6,18245.0,
649,649,Fidelity National Information,fidelity-national-information,fidelity-national-information,Business & Personal Services,United States,9263.0,26260.0,Florida,Florida,Gary A. Norcross,,568.0,26031.0,
650,650,Aeon,aeon,aeon,Food Retail,Japan,75490.0,12378.0,Japan,,Motoya Okada,,57.0,76131.0,
651,651,Centene,centene,centene,Managed Health Care,United States,40607.0,12221.0,Missouri,Missouri,Michael F. Neidorff,,558.0,20197.0,
652,652,Great Wall Motor,great-wall-motor,great-wall-motor,Auto & Truck Manufacturers,China,14213.0,15179.0,China,,Feng Ying Wang,,1585.1,13293.0,
653,653,Telkom Indonesia,telkom-indonesia,telkom-indonesia,Telecommunications services,Indonesia,8747.0,30437.0,Indonesia,,Alex Janangkih Sinaga,,1455.0,13332.0,
654,654,Molson Coors Brewing,molson-coors-brewing,molson-coors-brewing,Beverages,United States,4885.0,20531.0,Colorado,Colorado,Mark R. Hunter,,1972.0,29342.0,
655,655,Naspers,naspers,naspers,Broadcasting & Cable,South Africa,5930.0,75355.0,South Africa,,Robert van Dijk,,994.0,18224.0,
656,656,Stanley Black & Decker,stanley-black-decker,stanley-black-decker,Household/Personal Care,United States,11407.0,20182.0,Connecticut,Connecticut,James M. Loree,,965.3,15635.0,
657,657,Nucor,nucor,nucor,Iron & Steel,United States,16208.0,19385.0,North Carolina,North Carolina,John J. Ferriola,,731.4,15224.0,
658,658,Transneft,transneft,transneft,Oil Services & Equipment,Russia,12660.0,4730.0,Russia,,Nikolay Petrovich Tokarev,,3475.7,45601.0,
659,659,JD.com,jd,jd,Internet & Catalog Retail,China,38985.0,45719.0,China,,Qiang Dong Liu,,-575.6,23142.0,
660,660,National Bank of Abu Dhabi,national-bank-of-abu-dhabi,national-bank-of-abu-dhabi,Regional Banks,United Arab Emirates,4001.0,16094.0,United Arab Emirates,,Abdulhamid Mohammad Saeed,,1364.7,114545.0,
661,661,West Japan Railway,west-japan-railway,west-japan-railway,Railroads,Japan,13266.0,12763.0,Japan,,Takayuki Sasaki,,741.9,24472.0,
662,662,DaVita,davita,davita,Healthcare Services,United States,14745.0,13046.0,Colorado,Colorado,Kent J. Thiry,,879.9,18741.0,
